вход, доп вход, результат, текущий статус
,,,
необработанный корпус текстов, нет, первичные векторные представления,
,,,
первичные векторные представления, экспертный золотой стандарт в виде таблицы, вторичные векторные представления, статья в процессе написания
первичные векторные представления, автоматический золотой стандарт в виде таблицы, вторичные векторные представления, золотой стандарт можно автоматически построить по тезаурусу
первичные векторные представления, автоматический золотой стандарт в виде функции, вторичные векторные представления, требуется корпус текстов и возможно тезаурус
,,,
нет, экспертный золотой стандарт в виде таблицы, первичные векторные представления, ВКР Александра
нет, автоматический золотой стандарт в виде таблицы, первичные векторные представления,
нет, автоматический золотой стандарт в виде функции, первичные векторные представления,
,,,
необработанный корпус текстов, автоматический золотой стандарт в виде функции, первичные векторные представления, конечная цель
